content_volume,knowledge_application,content_del_pace,planning_tools,fac_preparedness,fac_qna,fac_experience,fac_knowledge,faci_ppt_attn,workshop_interest,content_ease,content_relevance,content_relevance_org,prac_q
Just right,Strongly agree,Just right,Network Diagram,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
Too much information,Agree,Too much information,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral
Too much information,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Agree,Just right,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree
Just right,Agree,Too much information,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Just right,Agree,Too much information,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral
Just right,Agree,Just right,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just right,Neutral,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral
Just right,Strongly agree,Just right,,Neutral,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
Too much information,Agree,Just right,,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral
Just right,Strongly agree,Just right,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree
Just right,Strongly agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
Too little information,Neutral,Just right,,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree
Just right,Strongly agree,Too much information,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
Too little information,Agree,Just right,,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
Too little information,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree
Just right,Agree,Too little information,,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Didn't get to them.
Too little information,Neutral,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Strongly agree,Too little information,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree
Just right,Agree,Too little information,,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral
Just right,Agree,Just right,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree
Just right,Agree,Too little information,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral
Just right,Strongly agree,Just right,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I did not have time to complete any optional exercises
Too much information,Agree,Just right,,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree
Too little information,Strongly agree,Just right,,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree
Too much information,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Too little information,Agree,Too much information,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree
Just right,Strongly agree,Too little information,,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral
Just right,Strongly agree,Too much information,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Just right,Agree,Too little information,,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree
Too much information,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Too little information,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Strongly agree,Just right,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Too much information,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree
Too much information,Strongly agree,Too little information,,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
Just right,Agree,Just right,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
Just right,Agree,Just right,,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree
Just right,Strongly agree,Just right,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
Just right,Agree,Too much information,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral
Just right,Strongly agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,I did not have time to complete any optional exercises
Just right,Strongly agree,Just right,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
Just right,Strongly Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Just right,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree
Just right,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral
Too little information,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral
Too little information,Agree,Just right,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just right,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Too much information,Agree,Too little information,,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree
Too little information,Agree,Just right,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral
Just right,Strongly Agree,Just right,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral
Too little information,Agree,Just right,,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,I did not have time to complete any optional exercises
Just right,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I did not have time to complete any optional exercises
Just right,Strongly Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
Just right,Agree,Just right,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral
Just right,Strongly Agree,Just right,,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral
Just right,Strongly Agree,Just right,,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
Just right,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Too much information,Agree,Just right,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Just right,Agree,Too little information,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
